Oceń: 1=Spam, 0=Zostaw;Nadawca;Temat
1;"""Daniel Marszałek"" <dmarszalek.waw@gmail.com>";Re: CV_pdf
1;Alerty o ofertach pracy na LinkedIn <jobalerts-noreply@linkedin.com>;„Stażysta w dziale programowania”: Java Engineer Intern Warsaw w firmie Grid Dynamics
1;Krzysztof Wolski <rekrutacja+26896320089067@mail.erecruiter.pl>;LS Airport Services - zaproszenie na spotkanie rekrutacyjne
1;"""Monika Marszałek"" <marszalek.ma@gmail.com>";Fwd: CV_pdf
1;LinkedIn <updates-noreply@linkedin.com>;Chief of Staff, Mobile Infrastructure z firmy Nokia ostatnio opublikował(a) treść
0;LinkedIn <messages-noreply@linkedin.com>;Możesz znać użytkownika Waldemar Bakalarz
1;LinkedIn <jobs-listings@linkedin.com>;WeTransfer zatrudnia na stanowisko Software engineer intern (Warsaw)
1;Alerty o ofertach pracy na LinkedIn <jobalerts-noreply@linkedin.com>;„Stażysta w dziale programowania”: Software Engineer Intern (AI/ML) - 2026 w firmie Snowflake i więcej
1;Alerty o ofertach pracy na LinkedIn <jobalerts-noreply@linkedin.com>;„Stażysta w dziale programowania”: Software Engineering Intern - Summer 2026 (Warsaw) w firmie Asana i więcej
0;Total Casino <totalcasino@totalcasino.pl>;Poznaj narzędzia Odpowiedzialnej Gry
1;Google Location Sharing <noreply-location-sharing@google.com>;Udostępniasz swoją bieżącą lokalizację 3 osobom.
1;Netflix <info@account.netflix.com>;Twój kod tymczasowego dostępu do serwisu Netflix
1;LinkedIn <messages-noreply@linkedin.com>;Zobacz oferty pracy na stanowisku cryptomaze i kroki, jakie możesz podjąć
0;LinkedIn <notifications-noreply@linkedin.com>;Pojawiłeś(-aś) się w wynikach 1 wyszukiwania
0;LinkedIn <updates-noreply@linkedin.com>;Chief of Staff, Mobile Infrastructure z firmy Nokia ostatnio opublikował(a) treść
1;Airbnb <automated@airbnb.com>;Dziękujemy, że jesteś wspaniałym gościem!
1;Airbnb <express@airbnb.com>;ODP: Rezerwacja oferty Apartament bcn w terminie 31 mar–3 kwi
1;LinkedIn <jobs-listings@linkedin.com>;Visa zatrudnia na stanowisko Software Engineer Intern
1;Google One <googleone-noreply@google.com>;Daniel, Twój pakiet Google AI Pro obejmuje teraz więcej miejsca na dane
